Source,Relation,Target
Ashwagandha root extract,RELIEVES,stress
Ashwagandha root extract,RELIEVES,cognitive function
Ashwagandha root extract,RELIEVES,physical performance
Ashwagandha root extract,RELIEVES,memory
Ashwagandha root extract,RELIEVES,thinking abilities
Ashwagandha root extract,RELIEVES,orientation
Ashwagandha root extract,RELIEVES,comprehension
Ashwagandha root extract,RELIEVES,learning abilities
Ashwagandha root extract,RELIEVES,emotional control
Ashwagandha root extract,RELIEVES,inflammatory response
Ashwagandha root extract,RELIEVES,apoptosis
Ashwagandha root extract,RELIEVES,necrosis
Ashwagandha root extract,RELIEVES,memory loss
Ashwagandha root extract,RELIEVES,neuronal apoptosis
Ashwagandha root extract,RELIEVES,inflammatory processes
Ashwagandha root extract,RELIEVES,intrusive thoughts
Ashwagandha root extract,RELIEVES,cognitive disturbance
Ashwagandha root extract,RELIEVES,chronic alcohol consumption
